,Sentence
2017,i am 19 and i cannot wait to move out 19 my parents home.
2018,i work took i have a part time job at burger king.
2019,my favorite shirts are band shirts and ruffle sleeves.
2020,i'm a blonde girl with really short hair.
2021,my favorite hobbies are listening to music and playing video games.
2022,i love wearing skinny jeans and leggings.
2023,i'm rather skinny as i like to stay in shape.
2024,i enjoy mountain biking as a hobby.
2025,i do not drink alcohol.
2026,my father was a construction worker.
2027,i hate the color pink.
2028,i am a huge coffee lover.
2029,i help tend the fields.
2030,i like to listen to rock music while working.
2031,i like to ride horses.
2032,i have three arabian horses.
2033,my father is a farmer.
2034,i do like watching cooking shows.
2035,i love rollercoasters and sky diving.
2036,hello i just moved here from germany.
2037,i am a vegan and i love hummus.
2038,i love wearing skinny jeans and leggings.
2039,i am a blonde girl with really short hair.
2040,my favorite hobbies are listening to music and playing video games.
2041,my favorite shirts are band shirts and ruffle sleeves.
2042,i've two grown children who never visit.
2043,i fantasize about taking over the world.
2044,i'm a 56 year old woman.
2045,i used to be a painter but now i am a housekeeper.
2046,hey there i'm 23 and i love food.
2047,i've been traveling the world for a years.
2048,i've been trying all types of food everywhere i go.
2049,i also like to cook but i'm not very good at it.
2050,my favorite band is up and i got to see them in concert once.
2051,i am an elementary school teacher.
2052,my parents were also teachers.
2053,i love to play board games.
2054,i am a party animal.
2055,my favorite movie is mean girls.
2056,i'm deathly afraid of heights.
2057,i own a cat and a dog.
2058,my parents were also teachers.
2059,i'm an elementary school teacher.
2060,i love to play board games.
2061,my favorite band is up and i got to see them in concert once.
2062,for vacation i enjoy time at the beach.
2063,i was born in somalia.
2064,i was forced to marry when i was a.
2065,now i live in the united states.
2066,i like to dance.
2067,i like playing basketball.
2068,my favourite artist is travis scott.
2069,i have one older sister.
2070,my mother is a dentist.
2071,i'm currently looking for a job preferably at a restaurant.
2072,my current goal is to run a k.
2073,i make straight as in school.
2074,i won homecoming queen this year.
2075,i'm currently in high school.
2076,when i grow up i want to be a physical therapist.
2077,i like doing the treadmill and rowing machine.
2078,i go to the gym regularly.
2079,i have short hair.
2080,two dogs live with me.
2081,i also like a glass of wine in the evenings.
2082,i coach little league baseball.
2083,i have five sons.
2084,coffee is my preferred beverage.
2085,my family doesn't support my career choices.
2086,i currently work for a watch dealer.
2087,my dream car is a rolls royce ghost.
2088,i often shop for shoes and watches.
2089,i like shopping.
2090,on weekends i do live action roleplaying events.
2091,i like donuts.
2092,i drive a ford pinto.
2093,i play a lot of call of duty.
2094,my favorite shirts are band shirts and ruffle sleeves.
2095,i'm a blonde girl with really short hair.
2096,my favorite hobbies are listening to music and playing video games.
2097,i love wearing skinny jeans and leggings.
2098,i'm rather skinny as i like to stay in shape.
2099,i work from home.
2100,i like to spend my money on cars.
2101,i've never had a steady relationship.
2102,i watch too much tv in spare time.
2103,i go to the gym most days just to socialize.
2104,i never broke a bone in my body ever in my life.
2105,i only eat kosher.
2106,i was raised in a single parent household.
2107,i am a stunt double as my second job.
2108,i read twenty books a year.
2109,i help tend the fields.
2110,my father is a farmer.
2111,i like to listen to rock music while working.
2112,i've three arabian horses.
2113,i work in it and have been at the same company for 15 years.
2114,i own a house in florida.
2115,i've a children and a dogs.
2116,i enjoy american sports.
2117,i'm a male.
2118,i dance on the weekends.
2119,i compete in dog agility classes.
2120,i don't care about fashion.
2121,i hate the color orange.
2122,my father is in the army.
2123,i love playing softball.
2124,i recently was fired and had to get a new job.
2125,i work in the insurance business.
2126,i will be released in about a month.
2127,i'm here for shoplifting.
2128,i feel old.
2129,i'm currently in a juvenile detention center.
2130,my mom is coming to visit me tomorrow.
2131,i go to the gym regularly.
2132,i like doing the treadmill and rowing machine.
2133,i've short hair.
2134,eating is something i do when i'm bored.
2135,two dogs live with me.
2136,my wife spends all my money.
2137,i'm 40 years old.
2138,i hate my job.
2139,i work as a car salesman.
2140,i have a boyfriend.
2141,i live in a house.
2142,i don't drink soda.
2143,i like to eat hamburgers and french fries.
2144,i like to take walks.
2145,i played football for a division a college.
2146,i try various coffees as a hobby.
2147,i am a huge star wars fan.
2148,i enjoy poetry.
2149,i like to spend my money on cars.
2150,i go to the gym most days just to socialize.
2151,i work from home.
2152,i watch too much tv in spare time.
2153,i have never had a steady relationship.
2154,i had cancer but its gone now.
2155,i can sew my own clothes.
2156,i've amazing children and grandchildren.
2157,i do not have a smartphone.
2158,i spend most of my time on facebook when i'm not working.
2159,i work at a nursing home.
2160,i do not believe in god.
2161,i'm overweight and unhappy.
2162,i enjoy american sports.
2163,i work in it and have been at the same company for 15 years.
2164,i'm a male.
2165,i've a children and a dogs.
2166,i've a pet fish.
2167,my favorite color is orange.
2168,i like to go hiking in the mornings to see the sunset.
2169,i turned 18 years old yesterday.
2170,i just broke up with boyfriend two months ago.
2171,i'm getting married in the spring.
2172,i love eating out with friends.
2173,my favorite singer is taylor swift.
2174,i'm 24 years old.
2175,i work at a school as a kindergarten teacher.
2176,my favorite shirts are band shirts and ruffle sleeves.
2177,i'm a blonde girl with really short hair.
2178,my favorite hobbies are listening to music and playing video games.
2179,i love wearing skinny jeans and leggings.
2180,i'm rather skinny as i like to stay in shape.
2181,my favorite shirts are band shirts and ruffle sleeves.
2182,i'm a blonde girl with really short hair.
2183,i love wearing skinny jeans and leggings.
2184,my favorite hobbies are listening to music and playing video games.
2185,i like to look at blocks and sing about letters.
2186,i like to eat chocolate candy.
2187,i like to talk but people have a hard time understanding.
2188,i'm four years old.
2189,i've a weakness for vanilla ice cream.
2190,i love cats and have two cats.
2191,i have a hat collection of over 1000 hats.
2192,my favorite season is winter.
2193,i won a gold medal in the 1992 olympics.
2194,my current goal is to run a k.
2195,when i grow up i want to be a physical therapist.
2196,i'm currently in high school.
2197,i make straight as in school.
2198,i won homecoming queen this year.
2199,i work at a school.
2200,i just moved into my first home.
2201,i'm expecting triplets in three months.
2202,a already have a step children.
2203,i enjoy mountain biking as a hobby.
2204,i am a huge coffee lover.
2205,i don't drink alcohol.
2206,my father was a construction worker.
2207,i'm a retired gym teacher.
2208,cheeseburgers are my favorite food.
2209,i was poor growing up.
2210,i volunteer at a soup kitchen.
2211,i like watching war documentaries.
2212,i'm a famous twitch streamer.
2213,i am a recluse.
2214,i helped design the game starcraft.
2215,i'm working on a building a robot to be my body double.
2216,i have an allergy to water.
2217,my favourite skater is rob dryden.
2218,i'm always wearing a hat.
2219,i'm a skateboarder.
2220,i've a broken arm.
2221,my friends are all skateboarders.
2222,my favourite music is country music.
2223,i drive a nissan pathfinder.
2224,i met taylor swift.
2225,i've short brown hair.
2226,i am a recording engineer and own my own studio.
2227,i prefer being inside.
2228,my ex cheated and left me for a lawyer.
2229,whats up i'm a 46 year old single dad 46 a kids.
2230,i live in california but the recording artist market was dead last year.
2231,i'm a skateboarder.
2232,i am always wearing a hat.
2233,my favourite skater is rob dryden.
2234,my friends are all skateboarders.
2235,i used to be pretty but time has not been kind.
2236,i used to be a painter but now i'm a housekeeper.
2237,i fantasize about taking over the world.
2238,i've two grown children who never visit.
2239,i am a 56 year old woman.
2240,i like to play with my dolls.
2241,i'm four.
2242,i have a pet turtle.
2243,i don't pick up my toys.
2244,my best friend lives next door.
2245,i'm married.
2246,i'm a vegetarian.
2247,my favorite color is blue.
2248,i am a woman.
2249,i also like a glass of wine in the evenings.
2250,i coach little league baseball.
2251,i have five sons.
2252,coffee is my preferred beverage.
2253,i enjoy exploring new parts of the city.
2254,i play several instruments.
2255,i volunteer at the homeless shelter.
2256,my father played violin professionally.
2257,i am a musician and hope to make it big some day.
2258,i also work as a custodian to help pay the bills.
2259,i play the piano and guitar and sing.
2260,my parents are not very supportive of my dream.
2261,i'm a christian.
2262,i can drive a tractor.
2263,my sister is a pole dancer.
2264,my favorite color is red.
2265,i enjoy listening to classical music.
2266,my favorite season is winter.
2267,i won a gold medal in the 1992 olympics.
2268,i love cats and have two cats.
2269,i've a hat collection of over 1000 hats.
2270,i have a weakness for vanilla ice cream.
2271,i grew up in the industry.
2272,i am a country music singer.
2273,my favorite band is rascal flats.
2274,i started playing guitar when i was three.
2275,we spent summers ring at national parks.
2276,i like to spend my money on cars.
2277,i go to the gym most days just to socialize.
2278,i've never had a steady relationship.
2279,i work from home.
2280,i was forced to marry when i was a.
2281,my aunt helped me escape when i was of.
2282,i was born in somalia.
2283,now i live in the united states.
2284,i enjoy gardening and walking outdoors.
2285,i attend church every week.
2286,i've a dogs.
2287,i work as a school teacher.
2288,i want to be a lawyer.
2289,my family has raised horses for a generations.
2290,i'm from a small town.
2291,i was raised on a horse farm.
2292,i dream of moving to the city.
2293,my sister is a pole dancer.
2294,i can drive a tractor.
2295,my favorite color is red.
2296,i enjoy listening to classical music.
2297,my favorite movie is mean girls.
2298,i help out at the food bank occasionally.
2299,i am a party animal.
2300,i'm deathly afraid of heights.
2301,i own a cat and a dog.
2302,i'm 60years old.
2303,i really like to travel.
2304,i'm a librarian.
2305,i've visited spain a times.
2306,i like donuts.
2307,my favorite band is the insane clown posse.
2308,on weekends i do live action roleplaying events.
2309,i play a lot of call of duty.
2310,i like to ride horses.
2311,i help tend the fields.
2312,i've three arabian horses.
2313,i like to listen to rock music while working.
2314,i'm a descendant of christopher columbus.
2315,i'm an art major in college.
2316,i have a weakness for fish and chips.
2317,i visit europe twice a year.
2318,two dogs live with me.
2319,i like doing the treadmill and rowing machine.
2320,eating is something i do when i'm bored.
2321,i have short hair.
2322,i go to the gym regularly.
2323,my favorite band is the insane clown posse.
2324,i play a lot of call of duty.
2325,i drive a ford pinto.
2326,on weekends i do live action roleplaying events.
2327,when i grow up i want to be a physical therapist.
2328,my current goal is to run a k.
2329,i'm currently in high school.
2330,i make straight as in school.
2331,i like to dance.
2332,i was born in somalia.
2333,i was forced to marry when i was a.
2334,my aunt helped me escape when i was of.
2335,now i live in the united states.
2336,i also like to cook but i am not very good at it.
2337,i've been trying all types of food everywhere i go.
2338,i have been traveling the world for a years.
2339,i own a yacht and i rent it out when i'm not using it.
2340,hey there i'm 23 and i love food.
2341,i like to eat chocolate candy.
2342,i like to look at blocks and sing about letters.
2343,i like to talk but people have a hard time understanding.
2344,i am four years old.
2345,my favorite season is winter.
2346,i won a gold medal in the 1992 olympics.
2347,i love cats and have two cats.
2348,i've a hat collection of over 1000 hats.
2349,i have a weakness for vanilla ice cream.
2350,i won homecoming queen this year.
2351,my current goal is to run a k.
2352,when i grow up i want to be a physical therapist.
2353,i'm currently in high school.
2354,i coach little league baseball.
2355,i also like a glass of wine in the evenings.
2356,i drive a mini van.
2357,i have five sons.
2358,coffee is my preferred beverage.
2359,i hate my job.
2360,i'm 40 years old.
2361,i work as a car salesman.
2362,my wife spends all my money.
2363,i am planning on getting a divorce.
2364,my parents were both very athletic.
2365,i got a new job just yesterday to be a life coach.
2366,i love running and preparing for marathons.
2367,i'm a clean eater.
2368,i like to take walks.
2369,i live in a house.
2370,i like to eat hamburgers and french fries.
2371,i don't drink soda.
2372,i work in the insurance business.
2373,my father is in the army.
2374,i love playing softball.
2375,i recently was fired and had to get a new job.
2376,i enjoy coloring books.
2377,i live is a rural farming community.
2378,i have a german shepherd dog.
2379,my husband is adopted.
2380,i play the piano and guitar and sing.
2381,my parents aren't very supportive of my dream.
2382,i also work as a custodian to help pay the bills.
2383,my favorite type of music to sing is folk music.
2384,i am a musician and hope to make it big some day.
2385,cheeseburgers are my favorite food.
2386,i'm a retired gym teacher.
2387,i like watching war documentaries.
2388,i was poor growing up.
2389,i feel like i might live forever.
2390,i am 100 years old.
2391,i love to drink wine and dance in the moonlight.
2392,i remember when nobody had a television.
2393,i am very strong for my age.
2394,my favourite music is country music.
2395,i drive a nissan pathfinder.
2396,i've short brown hair.
2397,i'm a convenience store manager.
2398,i am a recluse.
2399,i helped design the game starcraft.
2400,i am working on a building a robot to be my body double.
2401,i've an allergy to water.
2402,i am a famous twitch streamer.
2403,i hate math class.
2404,my brother is older than me.
2405,i am on the soccer team.
2406,i ride the bus to school.
2407,i'm 13 years old.
2408,i enjoy listening to classical music.
2409,i'm a christian.
2410,my favorite color is red.
2411,i can drive a tractor.
2412,my sister is a pole dancer.
2413,i've amazing children and grandchildren.
2414,i had cancer but its gone now.
2415,i can sew my own clothes.
2416,i am retired and living the great life.
2417,i drive a mini van.
2418,coffee is my preferred beverage.
2419,i coach little league baseball.
2420,i also like a glass of wine in the evenings.
2421,i've five sons.
2422,i am retired and living the great life.
2423,i have amazing children and grandchildren.
2424,i had cancer but its gone now.
2425,i can sew my own clothes.
2426,i am a doctor.
2427,my daughter is a child prodigy.
2428,i'm now looking for a new job.
2429,i enjoy going to the park.
2430,i've a weakness for vanilla ice cream.
2431,i love cats and have two cats.
2432,i have a hat collection of over 1000 hats.
2433,my favorite season is winter.
2434,i won a gold medal in the 1992 olympics.
2435,my parents are very wealthy bankers.
2436,i graduated from yale in 2011 with a degree in finance.
2437,i drive a bmw.
2438,i plan to go to business school next year.
2439,my favorite food is mexican food.
2440,i am a construction worker.
2441,in my free time i like to watch nascar racing and ufc.
2442,my favorite band is aerosmith.
2443,my mom is coming to visit me tomorrow.
2444,i'm here for shoplifting.
2445,i'm currently in a juvenile detention center.
2446,i will be released in about a month.
2447,i'm scared of dying.
2448,knitting is my passion.
2449,i've a dogs.
2450,the county wide bake sale is where i feel most at home.
2451,i quit my job to pursue my spirituality full time.
2452,i like meditation.
2453,i live in alaska.
2454,i am a buddhist.
2455,my favorite color is grey.
2456,i am terrified of scorpions.
2457,i have a german shepherd named barnaby.
2458,my father drove a car for nascar.
2459,i'm employed by the us postal service.
2460,i enjoy mountain biking as a hobby.
2461,i do not drink alcohol.
2462,my father was a construction worker.
2463,i hate the color pink.
2464,i am a huge coffee lover.
2465,i have a german shepherd named barnaby.
2466,my favorite color is grey.
2467,i'm terrified of scorpions.
2468,my father drove a car for nascar.
2469,i'm employed by the us postal service.
2470,i have blue eyes and red hair that comes to my waist.
2471,i do not have many friends.
2472,i love to play pobox.
2473,i hate school.
2474,i also have a dog walking business.
2475,i've three dogs.
2476,i like to watch the olympics.
2477,i am in an open polyamorous relationship.
2478,my father was a door to door salesman.
2479,i enjoy sports such as running.
2480,i am a woman.
2481,i am a vegetarian.
2482,my favorite color is blue.
2483,i have a broken arm.
2484,my favourite skater is rob dryden.
2485,i am always wearing a hat.
2486,my friends are all skateboarders.
2487,i love new kids on the block.
2488,i take dance lessons once a week.
2489,i was born in the early 80 s.
2490,my favorite toy as a child as my lite brite.
2491,i love to sing songs from the movie frozen.
2492,i play with my friends on the playground.
2493,i'm in the third grade.
2494,i love to go to disney world every year.
2495,if i am not cooking in the kitchen then i am definitely on the water.
2496,l also love comic books.
2497,hey my name is larry and i am a chef.
2498,spiderman is my favorite.
2499,i love cooking but i also enjoy fishing.
2500,i just got a job working in a gas station.
2501,my father keeps trying to set me up on blind dates.
2502,i was adopted at a young age to an older couple.
2503,i enjoy working with my hands and love gardening.
2504,i am terrified of clowns due to childhood trauma.
2505,i grew up in the industry.
2506,i am a country music singer.
2507,my favorite band is rascal flats.
2508,i started playing guitar when i was three.
2509,we spent summers ring at national parks.
2510,i read a book every week.
2511,my favorite kind of movie is a documentary.
2512,i started a new job as a pa three months ago.
2513,i'm pregnant with my first child.
2514,i live with my husband in pennsylvania.
2515,i've a dogs.
2516,i'm scared of dying.
2517,knitting is my passion.
2518,the county wide bake sale is where i feel most at home.
2519,i love to bake cookies.
2520,i am in the third grade.
2521,i love to go to disney world every year.
2522,i love to sing songs from the movie frozen.
2523,mickey mouse is my favorite character.
2524,i play with my friends on the playground.
2525,i volunteer my time with a local bunny rescue.
2526,my favorite color is navy blue.
2527,i work fulltime in a shipyard.
2528,i donate a part of my salary to charity each month.
2529,i have an internet addiction and spend a lot of time playing roleplaying games.
2530,i faint at the sight of blood.
2531,my dream in life is to work from home.
2532,i went to school to be a veterinarian but hated it.
2533,my wife left me and took my children.
2534,i do not believe in god.
2535,i'm overweight and unhappy.
2536,i work at a nursing home.
2537,i spend most of my time on facebook when i'm not working.
2538,i'm a huge coffee lover.
2539,my father was a construction worker.
2540,i hate the color pink.
2541,i do not drink alcohol.
2542,i enjoy mountain biking as a hobby.
2543,i'm scared of dying.
2544,i have a dogs.
2545,knitting is my passion.
2546,the county wide bake sale is where i feel most at home.
2547,i did not graduate high school.
2548,my favourite food is shawarma.
2549,i am in the army.
2550,my grandfather served in world war a.
2551,i like to work on vintage cars.
2552,my favorite music is country.
2553,i like to go to country concerts on weekends.
2554,i own two vintage mustangs.
2555,my favourite music is country music.
2556,i drive a nissan pathfinder.
2557,i've short brown hair.
2558,i'm a convenience store manager.
2559,i am a country music singer.
2560,my favorite band is rascal flats.
2561,we spent summers ring at national parks.
2562,i started playing guitar when i was three.
2563,i grew up in the industry.
2564,i just broke up with boyfriend two months ago.
2565,my favorite color is orange.
2566,i've a pet fish.
2567,i like to go hiking in the mornings to see the sunset.
2568,i turned 18 years old yesterday.
2569,i work at a bar at night to pay for college.
2570,i recently got an apartment with my best friend.
2571,i do not like chicken.
2572,i've blonde hair and blue eyes.
2573,i'm in college to become a nurse.
2574,i am a recovering alcoholic.
2575,i'm a 45 year old male.
2576,i now live in the city.
2577,i grew up on a farm.
2578,i don't care about fashion.
2579,i went to school for chemistry but work in a bookstore.
2580,i hate the color orange.
2581,i dance on the weekends.
2582,i did not graduate high school.
2583,my favourite food is shawarma.
2584,i am in the army.
2585,my grandfather served in world war a.
2586,i love to play pobox.
2587,i hate school.
2588,i don't have many friends.
2589,i am a 12 year old girl.
2590,i love to bake cookies.
2591,knitting is my passion.
2592,the county wide bake sale is where i feel most at home.
2593,i'm scared of dying.
2594,i've a dogs.
2595,my favorite color is blue.
2596,i enjoy sports such as running.
2597,i'm married.
2598,i am a vegetarian.
2599,i am married to a doctor.
2600,my family is continuously growing.
2601,i enjoy long walks with my dog.
2602,i am a professional tennis player.
2603,i live in a three storey house.
2604,my family is continuously growing.
2605,i'm married to a doctor.
2606,i enjoy long walks with my dog.
2607,i'm a professional tennis player.
2608,i live in a three storey house.
2609,i have rainbow hair.
2610,i spend my time bird watching with my cats.
2611,i am an animal activist.
2612,my age is too old to say.
2613,i'm a descendant of christopher columbus.
2614,i'm an art major in college.
2615,i have a weakness for fish and chips.
2616,i visit europe twice a year.
2617,i was adopted at a young age to an older couple.
2618,i'm terrified of clowns due to childhood trauma.
2619,my father keeps trying to set me up on blind dates.
2620,i enjoy working with my hands and love gardening.
2621,my boyfriend and i are moving into an apartment together next week.
2622,my favorite colors are red and silver.
2623,i'm fluent in english spanish and french.
2624,i'm an elementary school teacher.
2625,my father is in the army.
2626,i love playing softball.
2627,i recently was fired and had to get a new job.
2628,i work in the insurance business.
2629,i like to play chess.
2630,i do not drink alcohol.
2631,i'm in my thirties.
2632,i'm single and with two dogs.
2633,i like to grill outdoors.
2634,i enjoy mowing my lawn on sunny days.
2635,i have been retired for a years.
2636,i go gambling in my spare time.
2637,i volunteer in a homeless shelter.
2638,i am a professional wrestler.
2639,i enjoy being around people.
2640,in my spare time i do volunteer work.
2641,i met taylor swift.
2642,i drive a nissan pathfinder.
2643,i have short brown hair.
2644,my favourite music is country music.
2645,i just bought a house recently.
2646,i'm married with two kids.
2647,i see the rolling stones in concert every year.
2648,i'm an economics major.
2649,i eat a raw diet.
2650,spiderman is my favorite.
2651,hey my name is larry and i am a chef.
2652,l also love comic books.
2653,if i'm not cooking in the kitchen then i'm definitely on the water.
2654,i want to be a lawyer.
2655,my family has raised horses for a generations.
2656,i'm from a small town.
2657,i was raised on a horse farm.
2658,i dream of moving to the city.
2659,i work at a nursing home.
2660,i am overweight and unhappy.
2661,my wife left me and took my children.
2662,i spend most of my time on facebook when i am not working.
2663,i don't believe in god.
2664,i'm 13 years old.
2665,i ride the bus to school.
2666,i hate math class.
2667,i'm on the soccer team.
2668,i'm a librarian.
2669,i really like to travel.
2670,i have visited spain a times.
2671,i think i will retire in a few years.
2672,i am 60years old.
2673,i do not pick up my toys.
2674,i've a pet turtle.
2675,i'm four.
2676,my best friend lives next door.
2677,i turned 18 years old yesterday.
2678,my favorite color is orange.
2679,i just broke up with boyfriend two months ago.
2680,i've a pet fish.
2681,i won homecoming queen this year.
2682,my current goal is to run a k.
2683,when i grow up i want to be a physical therapist.
2684,i'm currently in high school.
2685,my favorite activity is rock climbing.
2686,i live in colorado.
2687,i'm a mechanical engineer.
2688,i have a black lab named trooper.
2689,i like to go hiking in the spring.
2690,i'm now looking for a new job.
2691,i enjoy going to the park.
2692,i'm a doctor.
2693,my favorite movie is friday.
2694,my daughter is a child prodigy.
2695,i am a party animal.
2696,my favorite movie is mean girls.
2697,i'm deathly afraid of heights.
2698,i own a cat and a dog.
2699,i've a son who is in junior high school.
2700,horror movies are my favorites.
2701,my father used to work for home depot.
2702,i'm a stay at home dad.
2703,i hate my job.
2704,my wife spends all my money.
2705,i'm 40 years old.
2706,i work as a car salesman.
2707,i'm planning on getting a divorce.
2708,i try various coffees as a hobby.
2709,i enjoy poetry.
2710,i am a huge star wars fan.
2711,i played football for a division a college.
2712,i like to go hiking in the spring.
2713,i live in colorado.
2714,i have a black lab named trooper.
2715,i'm a mechanical engineer.
2716,my favorite activity is rock climbing.
2717,i live in alabama.
2718,i like tacos.
2719,i've one brother.
2720,i've three sisters.
2721,my family has raised horses for a generations.
2722,i dream of moving to the city.
2723,i'm from a small town.
2724,i was raised on a horse farm.
2725,i want to be a lawyer.
2726,i have one brother.
2727,i have three sisters.
2728,i love dogs.
2729,i live in alabama.
2730,a already have a step children.
2731,i recently moved to this country.
2732,i just moved into my first home.
2733,i am expecting triplets in three months.
2734,i am married.
2735,i enjoy sports such as running.
2736,i'm a vegetarian.
2737,my favorite color is blue.
2738,i am a woman.
2739,my family doesn't support my career choices.
2740,i currently work for a watch dealer.
2741,my dream car is a rolls royce ghost.
2742,i often shop for shoes and watches.
2743,i like shopping.
2744,i love new kids on the block.
2745,my favorite toy as a child as my lite brite.
2746,i was born in the early 80 s.
2747,i also like old school hip hop.
2748,i take dance lessons once a week.
2749,i'm a plumber.
2750,my wife and kids are the best.
2751,i've three children.
2752,my favorite ice cream flavor is chocolate.
2753,i go gambling in my spare time.
2754,i move south during the winter.
2755,i enjoy mowing my lawn on sunny days.
2756,i have been retired for a years.
2757,i like to grill outdoors.
2758,i am a gold medalist olympian.
2759,i workout four hours a day.
2760,my favorite color is yellow.
2761,i love italian food and garlic bread.
2762,gymnastics is my favorite sport.
2763,i wear a motorbike helmet to protect my head.
2764,its red with blue stripe so it shiny when i race.
2765,i waitress during the day to supplement my income.
2766,i have light skin with big brown eyes.
2767,my main transportation is my motorbike.
2768,i'm a descendant of christopher columbus.
2769,i love to cook paella.
2770,i've a weakness for fish and chips.
2771,i visit europe twice a year.
2772,i am an art major in college.
2773,i'm a 56 year old woman.
2774,i fantasize about taking over the world.
2775,i used to be pretty but time hasn't been kind.
2776,i used to be a painter but now i am a housekeeper.
2777,i'm 13 years old.
2778,i ride the bus to school.
2779,i'm on the soccer team.
2780,my brother is older than me.
2781,i like to grill outdoors.
2782,i enjoy mowing my lawn on sunny days.
2783,i have been retired for a years.
2784,i go gambling in my spare time.
2785,since the surgery i have had strange powers.
2786,i was born with my heart outside my body.
2787,i had to have a transplant.
2788,i can move objects with my mind.
2789,i'm a boy.
2790,i drive a nissan pathfinder.
2791,i have short brown hair.
2792,i met taylor swift.
2793,i am a convenience store manager.
2794,my favourite music is country music.
2795,my favorite singer is taylor swift.
2796,i'm getting married in the spring.
2797,i am 24 years old.
2798,i love eating out with friends.
2799,i work at a school as a kindergarten teacher.
2800,my grandfather served in world war a.
2801,i live in canada.
2802,i did not graduate high school.
2803,i am in the army.
2804,i am a baby delivery nurse.
2805,i walk three miles every day.
2806,my favorite way to relax is to read a book.
2807,i love disneyland and mickey mouse.
2808,i love to spend time with my family.
2809,i'm very strong for my age.
2810,i am 100 years old.
2811,i feel like i might live forever.
2812,i love to drink wine and dance in the moonlight.
2813,i've a pet cow.
2814,i only listen to country music.
2815,i drive a big truck and live in country.
2816,i work my parents farms.
2817,i'm a recording engineer and own my own studio.
2818,my ex cheated and left me for a lawyer.
2819,whats up i am a 46 year old single dad 46 a kids.
2820,i live in california but the recording artist market was dead last year.
2821,i prefer being inside.
2822,i have short hair.
2823,i go to the gym regularly.
2824,eating is something i do when i'm bored.
2825,two dogs live with me.
2826,i like doing the treadmill and rowing machine.
2827,i hate math class.
2828,my brother is older than me.
2829,i am on the soccer team.
2830,i ride the bus to school.
2831,i'm 13 years old.
2832,i diet a lot.
2833,i'm high maintenance.
2834,i love listening to britney spears.
2835,i like to tan in tanning beds.
2836,i love spending money.
2837,i enjoy mountain biking as a hobby.
2838,i hate the color pink.
2839,my father was a construction worker.
2840,i don't drink alcohol.
2841,i'm a huge coffee lover.
2842,i'm now looking for a new job.
2843,i enjoy going to the park.
2844,i'm a doctor.
2845,my favorite movie is friday.
2846,my daughter is a child prodigy.
2847,my father played violin professionally.
2848,i'm a piano teacher on the side.
2849,i enjoy exploring new parts of the city.
2850,i volunteer at the homeless shelter.
2851,i enjoy reading journals and guides related to psychology.
2852,my parents taught me survival skills.
2853,i am also a graduate student.
2854,i walk dogs for a living.
2855,i'm an avid kayaker.
2856,i also like to cook but i'm not very good at it.
2857,i've been trying all types of food everywhere i go.
2858,i own a yacht and i rent it out when i'm not using it.
2859,i have been traveling the world for a years.
2860,hey there i am 23 and i love food.
2861,i have a weakness for vanilla ice cream.
2862,my favorite season is winter.
2863,i have a hat collection of over 1000 hats.
2864,i love cats and have two cats.
2865,i won a gold medal in the 1992 olympics.
2866,i'm here for shoplifting.
2867,i feel old.
2868,i'm currently in a juvenile detention center.
2869,i will be released in about a month.
2870,my mom is coming to visit me tomorrow.
2871,i quit my job to pursue my spirituality full time.
2872,i have not spoken in three months.
2873,i live in alaska.
2874,i like meditation.
2875,i'm a buddhist.
2876,my parents were also teachers.
2877,my favorite band is up and i got to see them in concert once.
2878,i love to play board games.
2879,i am an elementary school teacher.
2880,for vacation i enjoy time at the beach.
2881,i live in the cloud.
2882,i am a little girl.
2883,i am very lonely.
2884,i've superpowers.
2885,i'm high maintenance.
2886,i love listening to britney spears.
2887,i like to tan in tanning beds.
2888,i love spending money.
2889,i diet a lot.
2890,i don't like chicken.
2891,i recently got an apartment with my best friend.
2892,i am in college to become a nurse.
2893,i work at a bar at night to pay for college.
2894,my main transportation is my motorbike.
2895,i waitress during the day to supplement my income.
2896,i have light skin with big brown eyes.
2897,its red with blue stripe so it shiny when i race.
2898,i am pregnant with my first child.
2899,i live with my husband in pennsylvania.
2900,my favorite kind of movie is a documentary.
2901,i read a book every week.
2902,i started a new job as a pa three months ago.
2903,i've blonde hair and blue eyes.
2904,i do not like chicken.
2905,i work at a bar at night to pay for college.
2906,i recently got an apartment with my best friend.
2907,i enjoy long walks with my dog.
2908,i'm married to a doctor.
2909,i am a professional tennis player.
2910,my family is continuously growing.
2911,i live in a three storey house.
2912,i work for our local supermarket.
2913,my favorite band is the who.
2914,i have never been out of ohio.
2915,my favorite food is pizza with black olives.
2916,i am a descendant of christopher columbus.
2917,i am an art major in college.
2918,i love to cook paella.
2919,i have a weakness for fish and chips.
2920,i visit europe twice a year.
2921,i've zero family that i'm close to.
2922,my favorite food is papaya.
2923,i am a bee farmer.
2924,my name is george.
2925,my daughter is a child prodigy.
2926,my favorite movie is friday.
2927,i'm now looking for a new job.
2928,i am a doctor.
2929,i have solar panels on my roof.
2930,i buy only organic food products.
2931,i spend a lot of time browsing the internet.
2932,i love social medial especially twitter.
2933,i am a feminist.
2934,i love new kids on the block.
2935,i also like old school hip hop.
2936,i was born in the early 80 s.
2937,i take dance lessons once a week.
2938,my favorite toy as a child as my lite brite.
2939,my family has raised horses for a generations.
2940,i want to be a lawyer.
2941,i was raised on a horse farm.
